year,title,rating,rank
2013,Rush,8.3,2
2013,Prisoners,8.2,3
2013,The Hunger Games: Catching Fire,4
2013,Thor: The Dark World,5
2013,This Is the End,7.2,6
2013,Insidious: Chapter 2,7.1,7
2013,World War Z,7.1,8
2014,X-Men: Days of Future Past,9
2014,Transformers: Age of Extinction,10
2013,Now You See Me,7.3,11
2013,Gravity,8.2,12
2013,We're the Millers,7.2,13
2013,Riddick,6.8,14
2013,The Family,6.5,15
2013,Star Trek Into Darkness,7.9,16
2013,After Earth,4.9,17
2013,The Great Gatsby,7.3,18
2014,Divergent,20
2013,We Are What We Are,6.2,21
2013,Iron Man 3,7.4,22
2014,The Amazing Spider-Man 2,23
2013,Curse of Chucky,5.7,24
2013,The Conjuring,7.7,25
2013,Oldboy,26
2013,Escape Plan,7.6,27
2013,Elysium,7,28
2013,Cloudy with a Chance of Meatballs 2,6.7,29
2014,RoboCop,30
2013,Carrie,31
2013,The Mortal Instruments: City of Bones,6.6,32
2014,Captain America: The Winter Soldier,33
2014,Need for Speed,34
2013,Runner Runner,5.4,35
2013,I Spit on Your Grave 2,5.5,36
2013,Battle of the Year,3.5,37
2013,Behind the Candelabra,7,38
2013,No se Aceptan Devoluciones,6.9,39
2013,The Bling Ring,5.8,41
2013,Furious 6,7.2,42
2013,Machete Kills,6.3,43
2013,12 Years a Slave,7.7,44
2013,The World's End,7.5,45
2012,Pitch Perfect,7.1,46
2013,Epic,6.6,47
2012,The Avengers,8.2,48
2013,Metallica Through the Never,7.8,49
2013,Oblivion,7,50
2013,Dom Hemingway,6.9,51
2013,The Hangover Part III,5.9,52
2013,Despicable Me 2,7.7,55
2013,The Butler,6.6,56
2014,Dumb and Dumber To,57
2013,Blue Jasmine,7.8,58
2013,Ender's Game,59
2013,White House Down,6.4,60
2013,Pain & Gain,6.5,61
2013,2 Guns,7,62
2012,The Dark Knight Rises,8.6,63
2012,The Place Beyond the Pines,7.4,64
2014,Fast & Furious 7,65
2013,jOBS,5.6,66
2012,Disconnect,7.5,67
2011,Bridesmaids,6.8,68
2013,Man of Steel,7.6,69
2013,Ghost Team One,4.3,70
2010,Insidious,6.7,71
2014,Godzilla,72
2012,Wreck-It Ralph,7.8,73
2013,The Hobbit: The Desolation of Smaug,74
2013,Frozen,75
2012,Spring Breakers,5.5,76
2014,Fifty Shades of Grey,77
2012,Silver Linings Playbook,7.9,78
2013,R.I.P.D.,5.4,79
1994,The Shawshank Redemption,9.3,80
2013,Pacific Rim,7.5,81
2012,The Hunger Games,7.2,82
2013,The Last Days on Mars,7.4,83
2013,Baggage Claim,4.1,84
2013,Percy Jackson: Sea of Monsters,6.5,85
2012,Byzantium,6.5,86
2011,X-Men: First Class,7.8,87
1993,Hocus Pocus,6.2,88
2013,The East,6.9,89
2013,V/H/S/2,6.2,90
