title,year
King Kong,1933
Arsenic and Old Lace,1944
Double Indemnity,1944
I'll Be Seeing You,1944
Lifeboat,1944
Cat on a Hot Tin Roof,1958
Monster on the Campus,1958
No Time for Sergeants,1958
Teacher's Pet,1958
Touch of Evil,1958
Vertigo,1958
Bronenosets Potyomkin,1925
The Big Parade,1925
+1,2013
100 Degrees Below Zero,2013
12 Years a Slave,2013
2 Guns,2013
20 Feet from Stardom,2013
200 Cartas,2013
21 & Over,2013
3 Geezers!,2013
3096 Tage,2013
42,2013
47 Ronin,2013
7500,2013
A Belfast Story,2013
A Case of You,2013
A Field in England,2013
A Good Day to Die Hard,2013
A Madea Christmas,2013
A Most Wanted Man,2013
A Resurrection,2013
A Single Shot,2013
A.C.O.D.,2013
Aashiqui 2,2013
Aberration,2013
About Time,2013
Absence,2013
Admission,2013
Adore,2013
Adult World,2013
After Earth,2013
Age of Dinosaurs,2013
Ain't Them Bodies Saints,2013
Alan Partridge: Alpha Papa,2013
All Is Bright,2013
All Is Lost,2013
All Stars,2013
American Hustle,2013
Anchorman 2: The Legend Continues,2013
As Cool as I Am,2013
As I Lay Dying,2013
Ashley,2013
Ass Backwards,2013
Assault on Wall Street,2013
Atharintiki Daaredi,2013
August: Osage County,2013
Austenland,2013
Bad Grandpa,2013
Bad Milo!,2013
Baggage Claim,2013
Battle of the Year,2013
Beautiful Creatures,2013
Before Midnight,2013
Behaving Badly,2013
Behind the Candelabra,2013
Belle,2013
Besharam,2013
Bhaag Milkha Bhaag,2013
Big Sur,2013
Black Nativity,2013
Blackfish,2013
"Bless Me, Ultima",2013
Blood Ties,2013
Blood of Redemption,2013
Blue Caprice,2013
Blue Jasmine,2013
Borgman,2013
Bounty Killer,2013
Breakout,2013
Breathe In,2013
Broken City,2013
C.O.G.,2013
CBGB,2013
Can a Song Save Your Life?,2013
Captain Phillips,2013
Carrie,2013
Chennai Express,2013
Child of God,2013
Closed Circuit,2013
Cloudy with a Chance of Meatballs 2,2013
Coffee Town,2013
Cold Comes the Night,2013
Concussion,2013
Copperhead,2013
Cottage Country,2013
Crazy Kind of Love,2013
Crush,2013
Crystal Fairy,2013
Curse of Chucky,2013
Dallas Buyers Club,2013
Dark Circles,2013
Dark Skies,2013
Dark Touch,2013
Dealin' with Idiots,2013
Deception,2013
Delivery Man,2013
Despicable Me 2,2013
Devil's Knot,2013
Dhoom 3,2013
Dom Hemingway,2013
Don Peyote,2013
Dragon Ball Z: Battle of Gods,2013
Drift,2013
Drinking Buddies,2013
Effie Gray,2013
Elysium,2013
Empire State,2013
Ender's Game,2013
Enemy,2013
Enough Said,2013
Epic,2013
Escape Plan,2013
Escape from Planet Earth,2013
Escape from Tomorrow,2013
Europa Report,2013
Evidence,2013
Evil Dead,2013
Exploding Sun,2013
Extraction,2013
Fading Gigolo,2013
Family Weekend,2013
Feuchtgebiete,2013
Filth,2013
Five Thirteen,2013
Forbidden Ground,2013
Frankenstein's Army,2013
Free Birds,2013
Frozen,2013
Fruitvale Station,2013
Fukrey,2013
Furious 6,2013
G.I. Joe: Retaliation,2013
Gangster Squad,2013
Generation Iron,2013
Get Lucky,2013
Get a Job,2013
Getaway,2013
Ghost Team One,2013
Gimme Shelter,2013
Go Goa Gone,2013
Grace Unplugged,2013
Grand Masti,2013
Grand Piano,2013
Gravity,2013
Grown Ups 2,2013
Grudge Match,2013
Hammer of the Gods,2013
Hansel & Gretel Get Baked,2013
Hansel & Gretel: Witch Hunters,2013
Hatchet III,2013
Haunter,2013
He's Way More Famous Than You,2013
Heart of the Country,2013
Hell & Back,2013
Hell Baby,2013
Her,2013
Hidden Away,2013
Hoe Duur was de Suiker,2013
Home Run,2013
Home Sweet Home,2013
Homefront,2013
Horns,2013
Horrible Bosses 2,2013
House of Last Things,2013
How I Live Now,2013
Hummingbird,2013
I Give It a Year,2013
I Spit on Your Grave 2,2013
I'm in Love with a Church Girl,2013
Identity Thief,2013
In Fear,2013
In a World...,2013
InAPPropriate Comedy,2013
Inequality for All,2013
Inside Llewyn Davis,2013
Insidious: Chapter 2,2013
Intersections,2013
Iron Man 3,2013
Jack Ryan: Shadow One,2013
Jack the Giant Slayer,2013
Java Heat,2013
Jeune & jolie,2013
